vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
vTDeD7YR2,Paedo,Often deployed against Muslims on social media to imply that they engage in sexual abuse of children,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:37:07,2021-01-11 13:02:53
ebHNRfJax,Hodgie,Potentially degrades [1] traditional-looking Muslims and [2] brown-skinned people,"Slang offshoot of term ""Hajji"" (that means a Muslim who has gone to Hajj -pilgrimage)",False,,75.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 02:19:06,2021-01-11 12:58:05
cdtmegdan,sand ape,Variant of 'sand nigger' in relation to inhabitants of desert regions or Arabs / Muslims in general,,False,,100.0,eng,,sand monkeys,,False,True,True,False,False,False,False,0,0,0,2021-01-09 22:39:08,2021-01-09 22:39:08
TXTXsPJiF,islamization,"[1] Muslim conspiracy to take over the West, extremely degrading",,False,,50.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:31:10,2021-01-09 22:31:10
yUXynqvWQ,porki,"A person from South Asia or the Middle East, particularly a person from Pakistan.",,False,,75.0,eng,,paki,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:23:40,2021-01-09 22:23:40
tDqRrmu4w,halalify,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,100.0,,,halalification,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:20:45,2021-01-09 22:20:45
nhdtBLCpN,halalability,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,100.0,eng,,halalification,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:18:58,2021-01-09 22:19:21
GGqGTXdBQ,halal,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,,eng,,halalification,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:18:10,2021-01-09 22:18:10
yksZppzhx,halalification,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:16:51,2021-01-09 22:17:15
bQktraoXY,Muzrat,Derogatory portmanteau of Muslim and 'rat',,False,,100.0,eng,,muzzrats,,False,False,True,False,False,False,False,0,0,0,2021-01-09 21:59:42,2021-01-09 21:59:42
VJarJqGF8,Towelhead,[1] Demeans muslims dressed in traditional clothes especially women.,,False,,100.0,eng,,,,False,False,True,True,False,False,False,0,0,0,2021-01-09 17:22:37,2021-01-09 17:22:37
NpFf8Tqho,osama,[1]Used as if muslims are terrorists.,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 17:20:32,2021-01-09 17:20:32
zCVUQpQHL,żydzie,"""żydzie"" is the vocativus case of the noun ""żyd"" - a Jewish person. When used in vocativus, it attributes pejorative antisemitic stereotypes (greed, filth, etc.), regardless of ethnicity.",Jewish person called in vocativus,False,,,pol,,,,True,True,True,False,False,False,False,0,0,0,2020-12-27 21:28:51,2020-12-27 21:28:51
FQT2C7Wua,żydki,Polish equivalent of 'kike',,False,,,pol,żydek,,,True,True,True,False,False,False,False,70,0,0,2019-03-20 20:04:35,2020-12-27 21:12:05
uZzDTveiG,żydków,,,False,,,pol,żydka,żydek,,False,True,True,False,False,False,False,45,0,0,2019-03-20 20:06:05,2020-12-27 21:09:09
mu2C7r22G,kałmuk,A person from the asian part of the former Soviet Union,,False,,87.0,pol,,,,False,True,False,False,False,False,True,1,0,0,2013-04-09 17:46:41,2020-12-24 23:49:23
8dxftygpg,lobby gay,Supporters of a presumed gay agenda,,False,,38.0,eng,,,,False,False,False,False,True,False,False,0,0,0,2019-10-21 13:44:00,2020-12-09 16:02:42
oYBBJeWvy,Joto,Homosexual,,False,,,spa,,,,False,False,False,True,True,False,False,1,0,0,2020-12-05 06:08:46,2020-12-05 14:02:29
4LBNrfiPR,Hombre con peluca,Mujer transgénero,,False,,75.0,spa,,,,False,False,False,True,False,False,False,0,0,0,2020-12-05 05:36:02,2020-12-05 05:36:02
AHqPuzqak,mongoloid,"The term Mongoloid has had a second usage referencing Down syndrome, now generally regarded as highly offensive. - Wikipedia",Mongoloid (/ˈm,False,,75.0,eng,,,,False,False,False,False,False,True,False,0,0,0,2020-11-18 19:20:59,2020-11-18 19:20:59
BixWCJVZi,mili pili,"In Argentina, derogatory term for affluent, often Catholic, women. Contraction of the female names Milagros and Pilar.",,False,,50.0,spa,,,,False,False,False,True,False,False,True,0,0,0,2020-09-18 13:15:15,2020-09-18 13:15:15
8Wz32uuFT,mustalainen,"The Finnish Kale, a Romani population primarily in Finland and Sweden, derived from Finnish word for 'Black'. Nowadays can be considered offensive, with Romani the more respectful term.",,True,,74.0,fin,,,,False,True,False,False,False,False,False,395,15,15,2013-04-20 07:40:03,2020-09-16 13:24:03
kVwQFXzML,pilluteline,Pussy pedestal. Pussy carrying device. Indicates that a woman is nothing more than her sexual organs.,,False,,100.0,fin,,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 10:21:29,2020-09-14 21:55:25
yGEXiUxU4,Ah Beng,An unsophisticated person,,False,,,zho,,A-bêng,,False,False,False,False,False,False,True,4,1,1,2019-03-18 18:15:50,2020-09-10 11:43:32
u9QCuycMK,Natsi,"[1] A person of German descent. Rarely used in this manner.
[2] A person who believes in the Nazi cause. Neo-nazi.",A member of the historical Nazi Party.,False,,75.0,fin,,,,True,False,False,False,False,False,False,15,0,0,2013-07-22 19:14:43,2020-09-08 13:46:48
bzmfcpphQ,ählämit,An Arabic person.,,False,,100.0,fin,ählämi,,,False,True,False,False,False,False,False,0,0,0,2020-08-25 09:44:23,2020-08-25 09:44:23
EhzLaHoPX,ählämi,An Arabic person.,,False,,100.0,fin,,,,False,True,False,False,False,False,False,0,0,0,2020-08-25 09:43:57,2020-08-25 09:43:57
RRgQXAAjR,portot,"Harlot, whore. Used mainly by older, religious people.",,False,,75.0,fin,portto,,,False,False,False,True,False,False,False,0,0,0,2020-08-25 09:41:11,2020-08-25 09:41:11
nrQQsoGYK,portto,"Harlot, whore. Used mainly by older, religious people.",,False,,75.0,fin,,,,False,False,False,True,False,False,False,0,0,0,2020-08-25 09:40:41,2020-08-25 09:40:41
d4BHyQnWw,polakit,A Polish person,,False,,75.0,fin,polakki,,,True,False,False,False,False,False,False,0,0,0,2020-08-25 09:33:58,2020-08-25 09:33:58
mhARCtNHB,polakki,A Polish person,,False,,75.0,fin,,,,True,False,False,False,False,False,False,0,0,0,2020-08-25 09:33:31,2020-08-25 09:33:31
zCvnsDTrp,mannet,A Romani man,,False,,100.0,fin,manne,,,False,True,False,False,False,False,False,0,0,0,2020-08-25 09:31:53,2020-08-25 09:31:53
hhFeMa3nY,manne,A Romani man,,False,,100.0,fin,,,,False,True,False,False,False,False,False,0,0,0,2020-08-25 09:31:23,2020-08-25 09:31:23
KKXHtBWBp,mamupatjat,Immigrant mattress. A woman who sleeps with immigrants or asylum seekers.,,False,,100.0,fin,mamupatja,,,False,False,False,True,False,False,False,0,0,0,2020-08-25 09:30:26,2020-08-25 09:30:26
fpnptyYjd,mamupatja,Immigrant mattress. A woman who sleeps with immigrants or asylum seekers.,,False,,100.0,fin,,,,False,False,False,True,False,False,False,0,0,0,2020-08-25 09:29:56,2020-08-25 09:29:56
ZYthLMZue,vinosilmät,Slant. Derogatory term for an Asian person with slanted eyes.,,False,,100.0,fin,vinosilmä,,,False,True,False,False,False,False,False,0,0,0,2020-08-25 09:28:04,2020-08-25 09:28:04
4Grzi4q2m,vinosilmä,Slant. Derogatory term for an Asian person with slanted eyes.,,False,,100.0,fin,,,,False,True,False,False,False,False,False,0,0,0,2020-08-25 09:26:35,2020-08-25 09:27:15
tzJwALzyn,ulkkari,"Derogatory form of ulkomaalainen, foreigner.","Colloquialism of ulkokenttäpelaaja, outfielder.",False,,50.0,fin,,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 09:42:52,2020-08-24 18:46:36
hJRCRyQjC,ulkkarit,"Derogatory form of ulkomaalainen, foreigner.","Colloquialism of ulkokenttäpelaaja, outfielder.",False,,50.0,fin,ulkkari,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 10:07:44,2020-08-24 18:45:35
CsbWG3bwz,rotupetturi,Race traitor,,False,,100.0,fin,,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 11:05:55,2020-08-24 18:43:01
tmRtCYTgq,rotupetturit,Race traitor,,False,,100.0,fin,rotupetturi,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 11:06:38,2020-08-24 18:42:29
VryjJbxwx,maahantunkeutuja,"Immigrant, asylum seeker",,False,,100.0,fin,,,,False,False,False,False,False,False,True,0,0,0,2020-08-24 11:11:48,2020-08-24 18:40:49
Lk7AYAHBW,mamu,Immigrant. Shortened from maahanmuuttaja.,,False,,50.0,fin,,,,False,False,False,False,False,False,True,0,0,0,2020-08-24 11:15:42,2020-08-24 18:40:11
TdyjRgHH7,mamut,Immigrant. Shortened from maahanmuuttaja.,,False,,50.0,fin,mamu,,,False,False,False,False,False,False,True,0,0,0,2020-08-24 11:17:10,2020-08-24 18:39:46
bUjLi9nDW,matu,"Immigrant, asylum seeker",,False,,100.0,fin,,maahantunkeutuja,,False,False,False,False,False,False,True,0,0,0,2020-08-24 11:12:28,2020-08-24 18:39:21
mdXRVHgxG,huomiohuorat,Attention whore,,False,,50.0,fin,huomiohuora,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 14:25:05,2020-08-24 14:25:05
Up4wXkYhA,huomiohuora,Attention whore,,False,,50.0,fin,,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 14:20:20,2020-08-24 14:20:20
Ycpt2GCvm,nartut,Bitch,A female dog,False,,75.0,fin,narttu,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 11:25:45,2020-08-24 11:25:45
CbZzntqDf,narttu,Bitch,A female dog,False,,75.0,fin,,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 11:24:54,2020-08-24 11:24:54
JE8GWJBLE,feminatsit,Feminazi,,False,,75.0,fin,feminatsi,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 11:02:46,2020-08-24 11:02:46
potydufUH,feminatsi,Feminazi,,False,,75.0,fin,,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 11:02:13,2020-08-24 11:02:13
bRuAsRyqN,femakot,"Combination of feministi and emakko. Feminist sow, feminist pig.",,False,,100.0,fin,femakko,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 11:00:05,2020-08-24 11:00:05
XdQTYqoDX,femakko,"Combination of feministi and emakko. Feminist sow, feminist pig.",,False,,75.0,fin,,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 10:59:34,2020-08-24 10:59:34
ouxcMRryE,ryssät,Russkie,,False,,75.0,fin,ryssä,,,True,False,False,False,False,False,False,0,0,0,2020-08-24 10:56:13,2020-08-24 10:56:13
WoYeMkwtQ,ryssä,Russkie,,False,,75.0,fin,,,,True,False,False,False,False,False,False,0,0,0,2020-08-24 10:55:33,2020-08-24 10:55:33
UPrddJXxJ,transut,Tranny,,False,,100.0,fin,transu,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 10:51:37,2020-08-24 10:51:37
NTBhrLkZQ,transu,Tranny,,False,,75.0,fin,,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 10:50:53,2020-08-24 10:50:53
F6fwPnova,neekerinsuukot,Literal translation niggers kiss,Used to be the product name of chocolate-coated marshmallow treats manufactured by Brunberg.,False,,50.0,fin,neekerinsuukko,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 10:48:46,2020-08-24 10:48:46
kAVE27T3k,neekerinsuukko,Literal translation niggers kiss,Used to be the product name of chocolate-coated marshmallow treats manufactured by Brunberg.,False,,50.0,fin,,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 10:47:16,2020-08-24 10:47:16
NQRW8eRAV,rättipäät,Raghead,,False,,100.0,fin,rättipää,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 10:37:10,2020-08-24 10:37:10
QjuTWunUV,rättipää,Raghead,,False,,100.0,fin,,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 10:36:30,2020-08-24 10:36:30
yaXsraiXh,hiekkaneekerit,Sand nigger,,False,,100.0,fin,hiekkaneekeri,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 10:35:24,2020-08-24 10:35:24
oLfaZP6Gk,hiekkaneekeri,Sand nigger,,False,,100.0,fin,,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 10:34:46,2020-08-24 10:34:46
VKBTxDB7L,keharit,Retard. Colloquial and derogatory form of 'kehitysvammainen' (mentally retarded person).,,False,,100.0,fin,kehari,,,False,False,False,False,False,True,False,0,0,0,2020-08-24 10:25:57,2020-08-24 10:25:57
MFrhenpuz,pillutelineet,Pussy pedestial. Pussy carrying device. Indicates that a woman is nothing more than her sexual organs.,,False,,100.0,fin,pilluteline,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 10:23:43,2020-08-24 10:23:43
nubNizU4r,huorat,"whore, slut",,False,,75.0,fin,huora,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 10:14:29,2020-08-24 10:14:29
8AhjEGJbQ,huora,"whore, slut",,False,,75.0,fin,,,,False,False,False,True,False,False,False,0,0,0,2020-08-24 10:13:54,2020-08-24 10:13:54
MEjDdKeXH,jutkut,A slur against Jews,,False,,100.0,fin,jutku,,,False,False,True,False,False,False,False,0,0,0,2020-08-24 10:10:58,2020-08-24 10:10:58
4FPwuLVnQ,hinttarit,Faggot,,False,,100.0,fin,hinttari,,,False,False,False,False,True,False,False,0,0,0,2020-08-24 10:09:14,2020-08-24 10:09:14
ncwWooNNU,homppelit,homosexual,,False,,50.0,fin,homppeli,,,False,False,False,False,True,False,False,0,0,0,2020-08-24 10:05:39,2020-08-24 10:05:39
9BJLJXMEL,hinttari,Faggot,,False,,100.0,fin,,hintti,,False,False,False,False,True,False,False,0,0,0,2020-08-24 10:01:52,2020-08-24 10:01:52
6kdbsXaWt,hintit,Faggot,,False,,100.0,fin,hintti,,,False,False,False,False,True,False,False,0,0,0,2020-08-24 10:00:43,2020-08-24 10:00:43
zPpdEQWMG,hintti,Faggot,,False,,100.0,fin,,,,False,False,False,False,True,False,False,0,0,0,2020-08-24 09:58:38,2020-08-24 09:58:38
vjQPRQBxu,uskikset,"Derogatory form of uskovainen, a believer. Usually targets christians.",,False,,50.0,fin,uskis,,,False,False,True,False,False,False,False,0,0,0,2020-08-24 09:52:24,2020-08-24 09:52:24
Eagkvcvoc,vajaamieliset,Mentally defective,,False,,75.0,fin,vajaamielinen,,,False,False,False,False,False,True,False,0,0,0,2020-08-24 09:51:06,2020-08-24 09:51:06
Lq7mZcHJX,vammaset,"[1] Retarded (adj.)
[2] Retard (noun)",Disabled person,False,,75.0,fin,vammanen,,,False,False,False,False,False,True,False,0,0,0,2020-08-24 09:48:28,2020-08-24 09:48:28
ifvacjefv,vajakit,Retard,,False,,75.0,fin,vajakki,,,False,False,False,False,False,True,False,0,0,0,2020-08-24 09:46:24,2020-08-24 09:46:24
spw6ikDeq,mutakuonot,Racial epithet used to describe people with dark skin,,False,,100.0,fin,mutakuono,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 09:45:29,2020-08-24 09:45:29
desin7jLH,uskis,"Derogatory form of uskovainen, a believer. Usually targets christians.",,False,,75.0,fin,,,,False,False,True,False,False,False,False,0,0,0,2020-08-24 09:34:26,2020-08-24 09:34:26
dnmqJpLAP,nekruja,Nigger,,False,,100.0,fin,,neekeri,,False,True,False,False,False,False,False,0,0,0,2020-08-24 09:14:18,2020-08-24 09:14:18
k4hdnzpJx,mustalaiset,"Derived from the Finnish word for 'Black', it is a word for the Finnish Kale - a group of the Romani people that lives primarily in Finland and Sweden. It is nowadays sometimes considered an offensive term, and in common and official context romani is considered more appropriate.",,False,,97.0,fin,mustalainen,,,False,True,False,False,False,False,False,12,0,0,2013-04-20 15:41:33,2020-08-24 09:10:39
79bMK3Bt2,hapankaali,"A person of German descent, from sauerkraut. Used pejoratively very infrequently, if at all in modern times.",Sauerkraut,False,FI,25.0,fin,,,,True,False,False,False,False,False,False,251,11,11,2013-05-03 09:45:32,2020-08-24 09:08:57
7nLdosBKg,sandnigger,"Derogatory term for a person from the Middle East, Arab, South Asian world",,False,,,eng,,sand nigger,,False,True,False,False,False,False,False,0,0,0,2020-08-24 09:04:12,2020-08-24 09:04:12
JGKWVBDGP,neekereitä,Nigger,,False,,100.0,fin,,neekeri,,False,True,False,False,False,False,False,0,0,0,2020-08-24 09:01:14,2020-08-24 09:01:14
FcFQMXFAP,nekrut,Nigger,,False,,100.0,fin,nekru,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 08:59:49,2020-08-24 08:59:49
G9fNytzWp,neekerit,Nigger,,False,,100.0,fin,neekeri,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 08:58:09,2020-08-24 08:58:09
VRWYqnPrm,vammanen,"[1] Retarded (adj.)
[2] Retard (noun)",Disabled person,False,,75.0,fin,,vammainen,,False,False,False,False,False,True,False,0,0,0,2020-08-24 08:55:51,2020-08-24 08:55:51
jVdtAZuBT,vammainen,"[1] Retarded (adj.)
[2] Retard (noun)",Disabled person,False,,50.0,fin,,,,False,False,False,False,False,True,False,0,0,0,2020-08-24 08:53:11,2020-08-24 08:53:11
YuKZtKnYr,nekru,Nigger,,True,,99.0,fin,,neekeri,,False,True,False,False,False,False,False,188,9,9,2018-11-01 19:42:26,2020-08-24 08:47:49
bYGjxnFBz,vajaamielinen,Mentally defective,,False,,75.0,fin,,,,False,False,False,False,False,True,False,0,0,0,2020-08-24 08:46:20,2020-08-24 08:46:20
aqcXDe1AG,vajakki,Retard,,False,,75.0,fin,,,,False,False,False,False,False,True,False,0,0,0,2020-08-24 08:42:29,2020-08-24 08:42:29
hgKEajeBo,kehari,Retard. Colloquial and derogatory form of 'kehitysvammainen' (mentally retarded person).,,False,,100.0,fin,,,,False,False,False,False,False,True,False,0,0,0,2020-08-24 08:37:49,2020-08-24 08:37:49
pirj2vtyf,neekeri,Nigger,,False,,100.0,fin,,,,False,True,False,False,False,False,False,0,0,0,2020-08-24 08:28:44,2020-08-24 08:28:44
TvpxZARcg,Galla,derogatory term for the Oromo ethnic group,,False,,,amh,,,,False,True,False,False,False,False,False,0,0,0,2020-08-15 17:15:50,2020-08-15 17:15:50
CUNwTAUXn,मुल्ला,Calling all Muslims Mulla and giving bad words.  Usually used in a derogatory sense.,Muslim Cleric,False,,,hin,,,Mulla,False,False,True,False,False,False,False,0,0,0,2020-07-30 14:56:35,2020-07-30 14:56:35
rcgtvVbun,Mulla,Calling all Muslims Mulla and giving bad words.  Usually used in a derogatory sense.,Muslim Cleric,False,,,hin,,,,False,False,True,False,False,False,False,1,0,0,2020-07-28 21:26:39,2020-07-30 14:52:38
VyYrjVnfq,खतना,"The word ""katwa"" refers to the fact that the foreskin of muslims is circumcised or ""cut off"". Therefore katwa is a highly racially derogatory word.",,False,,,hin,,,katwa,False,False,True,True,False,False,False,0,0,0,2020-07-30 14:51:25,2020-07-30 14:51:25
HKhqikufd,कटवा,"The word ""katwa"" refers to the fact that the foreskin of muslims is circumcised or ""cut off"". Therefore katwa is a highly racially derogatory word.",,False,,,hin,,,katwa,False,False,True,True,False,False,False,0,0,0,2020-07-30 14:50:23,2020-07-30 14:50:23
p5BxVyLvx,katwa,"The word ""katwa"" refers to the fact that the foreskin of muslims is circumcised or ""cut off"". Therefore katwa is a highly racially derogatory word.",,False,,100.0,hin,,,,False,False,True,True,False,False,False,2,0,0,2020-07-28 22:04:15,2020-07-30 14:48:14
3jRb2WNKj,Chuslim,Muslims are called Chuslim.  The word is formed by concatenating an abusive term with Muslims.,,False,,100.0,hin,,,,False,False,True,False,False,False,False,6,1,1,2020-07-29 06:04:46,2020-07-30 14:46:04
